Fri Jun 20 19:52:39 2025    profiling-sleep.stats

         41900 function calls (41077 primitive calls) in 6.113 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.000    5.000    5.000    5.000 {built-in method time.sleep}
        2    0.966    0.483    0.966    0.483 {built-in method curl_cffi._wrapper.curl_easy_perform}
9678/9670    0.017    0.000    0.029    0.000 {built-in method builtins.isinstance}
     1310    0.004    0.000    0.009    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
2386/2382    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
     1310    0.004    0.000    0.005    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/generic.py:37(_check)
    98/50    0.003    0.000    0.070    0.001 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/series.py:389(__init__)
2021/1662    0.003    0.000    0.004    0.000 {built-in method builtins.len}
      112    0.003    0.000    0.029    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/construction.py:517(sanitize_array)
       98    0.002    0.000    0.024    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/arrays/datetimes.py:331(_from_sequence_not_strict)
       54    0.002    0.000    0.044    0.001 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexes/base.py:475(__new__)
        1    0.002    0.002    1.098    1.098 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/yfinance/scrapers/fundamentals.py:122(_get_financials_time_series)
       98    0.002    0.000    0.012    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/arrays/datetimes.py:2201(_sequence_to_dt64)
       47    0.001    0.000    0.087    0.002 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexing.py:1785(_setitem_with_indexer)
       98    0.001    0.000    0.005    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/arrays/datetimelike.py:2452(ensure_arraylike_for_datetimelike)
       97    0.001    0.000    0.004    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:123(maybe_convert_platform)
       47    0.001    0.000    0.082    0.002 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexing.py:2179(_setitem_single_block)
       52    0.001    0.000    0.016    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:1164(maybe_infer_to_datetimelike)
       47    0.001    0.000    0.093    0.002 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexing.py:882(__setitem__)
      418    0.001    0.000    0.004    0.000 <frozen abc>:117(__instancecheck__)
      733    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       51    0.001    0.000    0.003    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/internals/blocks.py:1439(setitem)
      746    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      150    0.001    0.000    0.002    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/numpy/_core/numeric.py:324(full)
     22/9    0.001    0.000    0.004    0.000 /usr/lib/python3.12/re/_parser.py:512(_parse)
   131/14    0.001    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
      235    0.001    0.000    0.008    0.000 /usr/lib/python3.12/re/__init__.py:179(sub)
       51    0.001    0.000    0.005    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexes/datetimelike.py:141(equals)
       98    0.001    0.000    0.007    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/arrays/datetimes.py:2445(maybe_convert_dtype)
      197    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      242    0.001    0.000    0.009    0.000 /usr/lib/python3.12/re/__init__.py:280(_compile)
        1    0.001    0.001    0.001    0.001 /usr/lib/python3.12/json/decoder.py:343(raw_decode)
       49    0.001    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/arrays/datetimes.py:2371(objects_to_datetime64)
      329    0.001    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexes/base.py:912(__len__)
       99    0.001    0.000    0.003    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1200(is_bool_dtype)
      201    0.001    0.000    0.004    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexes/base.py:7716(maybe_extract_name)
      110    0.001    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexes/base.py:650(_simple_new)
      303    0.001    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/inference.py:334(is_hashable)
